City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
497,Kununurra,AU,62.58,clear sky,-15.7667,128.7333,Hotel Kununurra
500,Pirapozinho,BR,76.84,clear sky,-22.2753,-51.5,Chácara Gilmar Sapia
502,Newport,GB,66.74,broken clouds,51.5877,-2.9984,ibis budget Newport
508,Necochea,AR,74.3,few clouds,-38.5473,-58.7368,dyd -mar Hotel
511,Santa Cruz,BO,85.84,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
513,Puerto Leguizamo,CO,77.29,overcast clouds,-0.1934,-74.7819,la casona de juancho
514,Springfield,US,73.65,few clouds,37.2153,-93.2982,Best Western Route 66 Rail Haven
515,Kavieng,PG,83.26,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
517,Gat,IL,69.4,clear sky,31.61,34.7642,OlusHome
518,Gizo,SB,82.09,overcast clouds,-8.103,156.8419,Imagination Island
521,Mahajanga,MG,80.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
524,Griffith,US,66.0,clear sky,41.5284,-87.4237,Apartment above Depot Bar
525,Cockburn Town,TC,79.61,clear sky,21.4612,-71.1419,Osprey Beach Hotel
526,Pringsewu,ID,76.39,overcast clouds,-5.3582,104.9744,Urban Style by Front One
527,San Luis,AR,73.54,overcast clouds,-33.295,-66.3356,Huarpes Hotel
534,Ahuimanu,US,76.35,broken clouds,21.4447,-157.8378,Paradise Bay Resort
537,Dandeli,IN,75.69,overcast clouds,15.2667,74.6167,Shree Lodge and adventure
538,Mount Isa,AU,65.97,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
540,Korla,CN,68.79,clear sky,41.7597,86.1469,Gulisitan Hotel
542,Frohnleiten,AT,62.26,overcast clouds,47.2667,15.3167,Golfhotel Murhof
544,Choma,ZM,64.44,scattered clouds,-16.8065,26.9531,Kamuboola Lodge
546,Ismailia,EG,70.38,clear sky,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
548,Shache,CN,74.3,clear sky,38.4167,77.2406,Delong Hotel
549,Mareeba,AU,70.52,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
550,Comodoro Rivadavia,AR,64.26,few clouds,-45.8667,-67.5,Austral Hotel
555,Harper,LR,76.6,moderate rain,4.375,-7.7169,Screensaver
556,Bardiyah,LY,66.56,clear sky,31.7561,25.0865,بورتو بردية
557,Sao Lourenco Do Sul,BR,69.04,clear sky,-31.3653,-51.9783,Hotel Pousada Verde Água
560,Naliya,IN,81.36,clear sky,23.2667,68.8333,jadeja jayendrasinh
565,Pidvynohradiv,UA,66.11,broken clouds,48.1395,22.9719,JJ Hotel
577,Carutapera,BR,77.58,overcast clouds,-1.195,-46.02,Lidera
580,Tete,MZ,78.89,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
581,Oranjestad,AW,79.84,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
589,Georgiyevka,KZ,68.04,clear sky,43.0369,74.7114,Gostinitsa Imperiya
590,Kutum,SD,84.36,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
591,Banda Aceh,ID,81.12,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
593,Karratha,AU,76.98,broken clouds,-20.7377,116.8463,ibis Styles Karratha
594,Miranda,CO,82.53,light rain,3.2499,-76.2281,unidiversidad organica la utopia
595,Kushima,JP,66.51,overcast clouds,31.4583,131.2333,Hanaoka
596,Liverpool,GB,65.37,few clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
597,Martapura,ID,75.29,broken clouds,-3.4167,114.85,Montana Hotel Syariah
603,Shaoyang,CN,68.29,broken clouds,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
606,Lata,PT,73.58,broken clouds,40.1629,-8.3327,Casa Maquia
607,Uvira,CD,74.01,light rain,-3.4067,29.1458,Hotel Suzana
611,San Quintin,MX,63.37,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
613,Camabatela,AO,67.37,broken clouds,-8.1881,15.375,Comércio e Prestação de Serviços
616,Yala,TH,76.5,heavy intensity rain,6.3333,101.25,งานแต่ง Murnee - Wahid
617,Rocha,UY,70.68,clear sky,-34.4833,-54.3333,Hotel Arrarte
623,Halle,DE,62.8,clear sky,51.5,12.0,Hotel Schweizer Hof
624,Port Keats,AU,73.11,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
625,Rincon,US,70.86,broken clouds,32.296,-81.2354,Days Inn Rincon
626,Kendari,ID,75.79,overcast clouds,-3.945,122.4989,Hotel Wixel
629,Tamandare,BR,79.7,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
630,Casablanca,MA,80.82,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
634,Warri,NG,79.72,overcast clouds,5.5167,5.75,BON Hotel Delta
637,Limoges,FR,70.36,clear sky,45.75,1.3333,La Gratade
641,Nakamura,JP,63.63,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
