City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,North Platte,US,41.1239,-100.7654,71.11,47,70,11.99,broken clouds
234,Richards Bay,ZA,-28.783,32.0377,67.66,84,99,11.92,light rain
235,Hofn,IS,64.2539,-15.2082,46.56,95,100,8.55,overcast clouds
236,Dingle,PH,10.9995,122.6711,78.53,86,46,8.16,scattered clouds
237,Tiksi,RU,71.6872,128.8694,-0.24,99,55,4.14,broken clouds
238,Cairns,AU,-16.9167,145.7667,75.15,93,75,10.36,broken clouds
239,Iisalmi,FI,63.5592,27.1907,36.57,65,61,5.06,broken clouds
240,Josanicka Banja,RS,43.3895,20.7503,65.5,86,100,3.04,overcast clouds
241,Pangnirtung,CA,66.1451,-65.7125,26.49,85,10,4.32,clear sky
242,Kankon,IN,15.0167,74.0167,85.8,82,71,12.15,broken clouds
243,Kapit,MY,2.0167,112.9333,74.48,100,100,0.78,light rain
244,Aripuana,BR,-9.1667,-60.6333,88.11,58,39,1.39,scattered clouds
245,Killybegs,IE,54.6333,-8.45,62.31,78,100,13.65,overcast clouds
246,Half Moon Bay,US,37.4636,-122.4286,61.48,64,40,21.85,scattered clouds
247,Vostok,RU,46.4856,135.8833,30.81,89,81,5.17,broken clouds
248,Santa Cruz De Tenerife,ES,28.4682,-16.2546,76.6,60,20,8.05,few clouds
249,Saldanha,ZA,-33.0117,17.9442,57.25,84,24,8.32,few clouds
250,Esperance,AU,-33.8667,121.9,55.24,43,7,11.74,clear sky
251,Alofi,NU,-19.0595,-169.9187,78.69,89,73,8.05,broken clouds
252,Kidal,ML,18.4411,1.4078,97.3,4,0,11.27,clear sky
253,Pasni,PK,25.2631,63.471,82.11,75,0,13.27,clear sky
254,Asau,RO,46.4333,26.4,59.92,59,99,1.83,overcast clouds
255,Konstantinovka,RU,49.6167,127.9833,44.74,56,2,6.49,clear sky
256,Rio Claro,BR,-22.4114,-47.5614,78.53,56,37,0.87,scattered clouds
257,Bucerias,MX,20.75,-105.3333,86.13,51,39,8.5,scattered clouds
258,Ilulissat,GL,69.2167,-51.1,25.25,72,2,3.2,clear sky
259,Grand-Santi,GF,4.25,-54.3833,83.08,79,86,4.5,overcast clouds
260,Hashtrud,IR,37.4779,47.0508,47.8,68,61,12.3,broken clouds
261,Northam,GB,51.0333,-4.2167,60.62,74,55,5.5,broken clouds
262,Tumba,SE,59.1986,17.8332,49.21,43,0,12.66,clear sky
263,Airai,TL,-8.9266,125.4092,58.42,90,57,3.53,broken clouds
264,Ocos,GT,14.5094,-92.1933,86.41,70,91,9.69,overcast clouds
265,Ayagoz,KZ,47.9714,80.4392,41.79,34,93,19.75,overcast clouds
266,Jalu,LY,29.0331,21.5482,79.66,21,0,13.82,clear sky
267,Tutoia,BR,-2.7619,-42.2744,81.77,85,99,6.49,overcast clouds
268,Ancud,CL,-41.8697,-73.8203,54.63,73,26,7.23,scattered clouds
269,Gemena,CD,3.25,19.7667,81.07,62,73,0.78,broken clouds
270,Anahuac,MX,27.2333,-100.15,100.53,31,1,11.74,clear sky
271,Tougue,GN,11.4667,-11.6,90.07,30,83,4.68,broken clouds
272,Guilin,CN,25.2819,110.2864,68.11,92,99,0.63,overcast clouds
273,Caucaia,BR,-3.7361,-38.6531,84.15,70,20,9.22,few clouds
274,Leh,IN,34.1667,77.5833,47.77,47,45,4.9,scattered clouds
275,Kati,ML,12.7441,-8.0726,98.01,17,97,6.93,overcast clouds
276,Kupang,ID,-10.1667,123.5833,79.47,74,20,12.93,few clouds
277,Svetlogorsk,BY,52.6333,29.7333,54.46,88,88,6.76,overcast clouds
278,Karpogory,RU,64.0019,44.4451,38.91,92,100,5.99,overcast clouds
279,Tarancon,ES,40.0085,-3.0073,75.22,36,15,5.08,few clouds
280,Alyangula,AU,-13.8483,136.4192,76.87,94,4,3.44,clear sky
281,Pascagoula,US,30.3658,-88.5561,86.41,64,10,3.8,clear sky
282,Umm Lajj,SA,25.0213,37.2685,81.39,49,51,7.96,broken clouds
283,San Nicolas,PH,18.1725,120.5953,81.7,77,52,4.05,broken clouds
284,Kargil,IN,34.5667,76.1,48.67,39,45,4.34,scattered clouds
285,Yumen,CN,40.2833,97.2,65.07,22,88,7.25,overcast clouds
286,Tambo,PE,-14.8,-73.9167,50.88,29,55,9.48,broken clouds
287,Bengkulu,ID,-3.8004,102.2655,77.95,81,96,3.44,overcast clouds
288,Lujan,AR,-34.5703,-59.105,74.95,52,56,4.0,broken clouds
289,Venta,LT,56.2,22.7,43.39,52,68,9.35,broken clouds
290,Coos Bay,US,43.3665,-124.2179,44.15,93,100,0.0,overcast clouds
291,Iquique,CL,-20.2208,-70.1431,68.04,71,4,9.42,clear sky
292,Mantua,IT,45.1667,10.7833,70.84,70,99,1.01,overcast clouds
293,Batemans Bay,AU,-35.7167,150.1833,53.1,89,6,3.74,clear sky
294,Kosa,RU,59.9445,54.9977,46.69,67,44,7.02,scattered clouds
295,Nador,MA,35.174,-2.9287,75.27,46,0,3.44,clear sky
296,Saint-Joseph,RE,-21.3667,55.6167,71.98,81,26,7.43,scattered clouds
297,Tandalti,SD,13.0167,31.8667,93.33,8,93,12.82,overcast clouds
298,Bajos De Haina,DO,18.4154,-70.0332,87.73,63,40,11.5,scattered clouds
299,Biltine,TD,14.5333,20.9167,95.2,9,1,7.16,clear sky
300,Sola,VU,-13.8833,167.55,79.93,77,76,23.47,broken clouds
301,Yangjiang,CN,21.85,111.9667,70.7,90,99,4.72,overcast clouds
302,Victoria,HK,22.2855,114.1577,77.38,78,100,10.0,overcast clouds
303,Orlik,RU,52.5178,99.825,28.92,58,73,5.73,broken clouds
304,Nanortalik,GL,60.1432,-45.2371,37.31,89,100,1.9,overcast clouds
